Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\.classpath,4,0.0,0,0,0,0,5,0
C:/Users/norhe/pfaa\CoolReader\.gitignore,0,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\.pmd,1666,0.0,0,0,1,1,1667,1
C:/Users/norhe/pfaa\CoolReader\.project,28,0.0,0,0,1,0,29,0
C:/Users/norhe/pfaa\CoolReader\CMakeLists.txt,223,0.04035874439461883,0,0,1,0,224,1
C:/Users/norhe/pfaa\CoolReader\README.TXT,131,0.12213740458015267,0,0,1,0,132,1
C:/Users/norhe/pfaa\CoolReader\test,0,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\android\.classpath,14,0.0,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\android\.cproject,305,0.0,0,0,1,0,306,1
C:/Users/norhe/pfaa\CoolReader\android\.gitignore,3,0.0,0,0,0,0,4,0
C:/Users/norhe/pfaa\CoolReader\android\.project,100,0.0,0,0,1,0,101,0
C:/Users/norhe/pfaa\CoolReader\android\AndroidManifest.xml,61,0.0,0,0,1,0,62,0
C:/Users/norhe/pfaa\CoolReader\android\build.properties,10,0.9,0,0,0,0,11,0
C:/Users/norhe/pfaa\CoolReader\android\default.properties,9,0.8888888888888888,0,0,0,0,10,0
C:/Users/norhe/pfaa\CoolReader\android\jni\.cproject,134,0.0,0,0,1,0,135,1
C:/Users/norhe/pfaa\CoolReader\android\jni\.project,74,0.0,0,0,1,0,75,0
C:/Users/norhe/pfaa\CoolReader\android\jni\Android.mk,165,0.030303030303030304,0,0,1,0,166,1
C:/Users/norhe/pfaa\CoolReader\android\jni\Application.mk,3,0.3333333333333333,0,0,0,0,4,0
C:/Users/norhe/pfaa\CoolReader\android\jni\battery_icons.h,214,0.0,1,0,1,0,216,1
C:/Users/norhe/pfaa\CoolReader\android\jni\cr3engine.cpp,415,0.06987951807228916,2,0,1,0,418,1
C:/Users/norhe/pfaa\CoolReader\android\jni\cr3java.cpp,398,0.002512562814070352,0,0,1,0,399,1
C:/Users/norhe/pfaa\CoolReader\android\jni\cr3java.h,184,0.11413043478260869,3,0,1,0,188,1
C:/Users/norhe/pfaa\CoolReader\android\jni\gen_jni,2,0.0,0,0,0,0,3,0
C:/Users/norhe/pfaa\CoolReader\android\jni\org_coolreader_crengine_Engine.h,68,0.23529411764705882,1,0,1,0,76,0
C:/Users/norhe/pfaa\CoolReader\android\jni\org_coolreader_crengine_ReaderView.h,189,0.1693121693121693,1,0,1,0,205,1
C:/Users/norhe/pfaa\CoolReader\android\jni\readerview.cpp,869,0.01380897583429229,1,0,1,0,871,1
C:/Users/norhe/pfaa\CoolReader\android\jni\readerview.h,29,0.3448275862068966,1,0,0,0,31,0
C:/Users/norhe/pfaa\CoolReader\android\jni\run_make,0,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\bg_paper1.jpg,359,0.005571030640668524,0,0,1,0,1591,1
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\bg_paper1_dark.jpg,642,0.003115264797507788,0,0,1,0,2375,1
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\color_picker_frame.9.png,5,0.0,0,0,0,0,13,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\color_picker_icon.png,24,0.041666666666666664,0,0,1,0,92,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_back.png,22,0.0,0,0,1,0,52,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_back_to_reading.png,14,0.0,0,0,0,0,35,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book.png,17,0.0,0,0,0,0,96,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_chm.png,16,0.0,0,0,0,0,66,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_epub.png,20,0.0,0,0,0,0,64,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_fb2.png,26,0.0,0,0,1,0,73,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_html.png,19,0.0,0,0,0,0,76,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_rtf.png,20,0.0,0,0,0,0,64,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_txt.png,25,0.0,0,0,1,0,78,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_folder.png,18,0.0,0,0,0,0,75,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_folder_recent.png,20,0.0,0,0,0,0,50,0
