Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\win32\visualc\freetype.vcproj,2154,0.0,0,0,1,1,2155,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\scroll_arrow_up_enabled.png,4,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\data\hyph\Finnish_hyphen_(Alan).pdb,4,0.0,0,0,0,0,27,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Resources\cp862.txt,272,0.0588235294117647,0,0,1,0,273,1
C:/Users/norhe/pfaa\CoolReader\cr3wx\src\histlist.cpp,112,0.0714285714285714,0,0,1,0,113,1
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-v24\ic_course_plan.xml,8,0.0,0,0,0,0,9,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\scripts\makefile.sunos,78,0.2051282051282051,0,0,1,0,79,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\sheet.png,25,0.0,0,0,1,0,77,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_sand.jpg,24,0.0,0,0,1,0,81,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Unix-only\KDE1-only\Antiword.kdelnk.eu,14,0.0,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\pngwutil.c,2488,0.079983922829582,46,0,1,1,2537,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\zlib\Makefile.in,126,0.1666666666666666,0,0,1,0,127,1
C:/Users/norhe/pfaa\CoolReader\crengine\include\lvtinydom.h,1852,0.0734341252699784,6,0,1,1,1861,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\scroll_arrow_down_disabled.png,3,0.0,0,0,0,0,7,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\win32\w32-bccd.mk,16,0.75,0,0,0,0,17,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cid\cidload.h,35,0.1714285714285714,1,0,1,0,38,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\win32\w32-intl.mk,20,0.7,0,0,0,0,21,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\data\hyph\Russian_EnUS_hyphen_(Alan).pdb,54,0.0,0,0,1,0,160,0
C:/Users/norhe/pfaa\CoolReader\crengine\Tools\Fb2Test\ReadMe.txt,38,0.0,0,0,1,0,39,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pshinter\pshrec.c,958,0.0156576200417536,2,0,1,0,962,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\makefile.vms,141,0.0,0,0,1,0,142,1
C:/Users/norhe/pfaa\JavaDesktopSudoku\.git\logs\refs\heads\master,0,0.0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\TODO,22,0.0,0,0,1,0,23,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pfr\pfrerror.h,29,0.2758620689655172,0,0,1,0,32,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\classic\cr3_t9_shortcut.png,5,0.0,0,0,0,0,10,0
C:/Users/norhe/pfaa\CoolReader\crengine\include\lvdrawbuf.h,330,0.0696969696969697,1,0,1,0,332,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\atari\FNames.SIC,33,0.0,0,0,1,0,34,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\chmlib\INSTALL,218,0.0,0,0,1,0,219,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\drawfile.c,389,0.0539845758354755,1,0,1,0,391,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\arrow-left-enabled.png,5,0.0,0,0,0,0,11,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\jerror.c,212,0.0849056603773584,3,0,1,0,217,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\hyph\Czech_hyphen_(Alan).pdb,9,0.0,0,0,0,0,42,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\recentdlg.cpp,148,0.0405405405405405,0,0,1,0,149,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$BoolOption.class,128,0.0,0,0,1,0,157,1
C:/Users/norhe/pfaa\CoolReader\crengine\Tools\FontConv\resource.h,25,0.8,0,0,0,0,28,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\type42\t42parse.h,59,0.0847457627118644,1,0,1,0,64,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_fb2.png,26,0.0,0,0,1,0,73,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\bulgarian_hyphen.pdb,16,0.0,0,0,0,0,87,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cff\module.mk,16,0.6875,0,0,0,0,17,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3a\skins\default\scroll_arrow_right_disabled.png,3,0.0,0,0,0,0,7,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\chmlib\NEWS,60,0.0,0,0,1,0,61,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\jconfig.mc6,38,0.8157894736842105,2,0,0,0,50,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_browser_book_rtf.png,20,0.0,0,0,0,0,64,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\hyph\Irish_hyphen_(Alan).pdb,46,0.0,0,0,1,0,102,0
C:/Users/norhe/pfaa\Websocket-With-Angular\frontend\src\test.ts,16,0.0,0,0,0,0,17,0
C:/Users/norhe/pfaa\Find-Job\.gitignore,14,0.0,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\cr3_t9_frame.png,7,0.0,0,0,0,0,13,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\gxvalid\gxvmorx1.c,206,0.0194174757281553,1,0,1,0,209,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderCallback.class,11,0.0,0,0,0,0,16,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\xml\data_extraction_rules.xml,18,0.0,0,0,0,0,19,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\.git\hooks\pre-receive.sample,22,0.2727272727272727,0,0,0,0,23,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\icons\filter.png,21,0.0,0,0,1,0,65,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\cr3_main_menu_logo.png,5,0.0,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\scripts\pngw32.def,235,0.0,0,0,1,0,236,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\scroll_arrow_right_enabled.png,5,0.0,0,0,0,0,13,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\base\ftpatent.c,214,0.0467289719626168,0,0,1,0,215,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\projects\visualc6\pngtest.dsp,289,0.7162629757785467,0,0,1,0,290,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\addbookmarkdlg.h,28,0.1071428571428571,1,0,1,0,30,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\ftxf86.h,66,0.1515151515151515,1,0,1,0,69,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Makefile.cygming,81,0.1851851851851851,0,0,1,0,82,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\scripts\SCOPTIONS.ppc,6,0.0,0,0,0,0,7,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\.git\config,11,0.0,0,0,0,0,12,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\pngtrans.c,619,0.0840064620355412,0,0,1,0,619,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\install.doc,847,0.0141676505312868,3,0,1,0,854,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\psaux\t1decode.c,1177,0.0229396771452846,5,0,1,1,1184,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\sfnt\sfnt.c,33,0.5151515151515151,0,0,0,0,37,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\projects\visualc71\libpng.sln,87,0.0,0,0,1,0,88,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\config\ftmodule.h,29,0.0,0,0,1,0,30,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\src\main\java\com\wissassblog\sudoku\userinterface\logic\ControlLogic.java,63,0.0,0,0,1,0,64,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-xxhdpi\log.png,360,0.0083333333333333,0,0,1,0,1335,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\data\hyph\Swedish_hyphen_(Alan).pdb,20,0.0,0,0,0,0,53,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\src\main\java\com\wissassblog\sudoku\problemdomain\Coordinates.java,30,0.0,0,0,1,0,31,0
C:/Users/norhe/pfaa\CoolReader\tinydict\CMakeLists.txt,3,0.0,0,0,0,0,4,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-tvdpi\grad.xml,7,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\chmlib\ChmLib-ds6.zip,57,0.0175438596491228,0,0,1,0,226,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\psaux\afmparse.c,762,0.0288713910761154,3,0,1,0,767,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\dib2sprt.c,533,0.0206378986866791,0,0,1,0,534,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\configure,87,0.2068965517241379,1,0,1,0,89,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_option_page.png,11,0.0,0,0,0,0,25,0
C:/Users/norhe/pfaa\CoolReader\crengine\lib\projects\codeblocks\cr3view.cbp,146,0.0,0,0,1,0,147,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\docs\reference\ft2-glyph_stroker.html,847,0.0,0,0,1,0,848,1
C:/Users/norhe/pfaa\Websocket-With-Angular\frontend\src\app\app.component.spec.ts,26,0.0,0,0,1,0,27,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\config\ftstdlib.h,130,0.3538461538461538,2,0,1,0,133,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\src\citecore.h,217,0.0276497695852534,1,0,1,0,219,1
C:/Users/norhe/pfaa\CoolReader\crengine\include\lvrend.h,39,0.1538461538461538,1,0,1,0,41,0
C:/Users/norhe/pfaa\Find-Job\gradle.properties,20,0.85,0,0,0,0,21,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\gxvalid\gxvcommn.h,425,0.0941176470588235,13,0,1,0,450,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cache\ftccache.h,255,0.0823529411764705,11,0,1,0,271,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\unix\mkinstalldirs,140,0.2,0,0,1,0,141,1
